"","as.numeric.trace_rts.","prm_traces"
"489.3014",321.99799999998,82
"472.2744",321.99799999998,51
"489.2983",321.99799999998,82
"489.3108",321.99799999998,82
"489.3045",321.99799999998,82
"472.2837",321.99799999998,51
"489.3077",321.99799999998,82
"472.2714",321.99799999998,51
"472.2775",321.99799999998,51
"472.2806",321.99799999998,51
