"","as.numeric.trace_rts.","prm_traces"
"654.386",245.679,10
"654.3896",245.679,10
"654.3933",245.679,10
"654.3969",245.679,10
"766.4599",245.679,10
"784.4489",245.679,10
"784.4806",245.679,10
"784.5003",245.679,10
"801.4021",245.679,10
"801.4821",245.679,10
